chapter_id,question_text,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation
1,"希塩酸を加えると白色沈殿が生じ、熱水には溶けるイオンはどれか？",Ag⁺,Pb²⁺,Ba²⁺,Ca²⁺,B,"Pb²⁺（鉛イオン）は塩酸と反応してPbCl₂の白色沈殿を生じますが、PbCl₂は熱水に溶解度が増し溶けます[cite: 203-204]。"
1,"希塩酸を加えると白色沈殿が生じ、アンモニア水には溶けるイオンはどれか？",Ag⁺,Pb²⁺,Zn²⁺,Al³⁺,A,"Ag⁺はCl⁻と反応してAgClの白色沈殿を生じますが、過剰のアンモニア水には錯イオン[Ag(NH₃)₂]⁺を形成して溶けます[cite: 199]。"
1,"希硫酸を加えると白色沈殿が生じ、その沈殿が酸にも塩基にも溶けにくいイオンは？",Ba²⁺,Cu²⁺,Fe²⁺,Zn²⁺,A,"Ba²⁺は硫酸イオンと反応してBaSO₄の白色沈殿を生じます。これは水にも酸にも溶けない安定な沈殿です[cite: 208-210]。"
1,"少量の水酸化ナトリウム水溶液で沈殿が生じ、過剰に加えると溶けるイオンの組み合わせは？",Al³⁺・Zn²⁺,Ag⁺・Cu²⁺,Fe³⁺・Ni²⁺,Ba²⁺・Ca²⁺,A,"Al³⁺、Zn²⁺、Sn²⁺、Pb²⁺などの両性金属のイオンは、過剰の強塩基に錯イオンをつくって溶けます[cite: 231-234]。"
1,"少量のアンモニア水で沈殿が生じ、過剰に加えると溶けるイオンの組み合わせは？",Al³⁺・Fe³⁺,Cu²⁺・Zn²⁺,Pb²⁺・Sn²⁺,Ca²⁺・Ba²⁺,B,"Cu²⁺、Zn²⁺、Ag⁺、Ni²⁺などは、過剰のアンモニア水に錯イオンをつくって溶けます[cite: 239-244]。"
1,"次のうち、過剰のアンモニア水を加えても沈殿が溶けないものは？",Al(OH)₃,Cu(OH)₂,Ag₂O,Zn(OH)₂,A,"アルミニウムはアンモニア水と錯イオンを作らないため、水酸化物の沈殿は溶けません[cite: 250, 268]。"
1,"水酸化ナトリウム水溶液を加えると、「褐色（暗褐色）」の沈殿を生じるイオンは？",Ag⁺,Fe³⁺,Cu²⁺,Zn²⁺,A,"銀イオン（Ag⁺）は水酸化物（AgOH）が不安定で、すぐに酸化銀（Ag₂O）の褐色沈殿になります[cite: 222-224]。"
1,"水酸化ナトリウム水溶液を加えると、「赤褐色」の沈殿を生じるイオンは？",Fe²⁺,Fe³⁺,Cu²⁺,Al³⁺,B,鉄(III)イオン（Fe³⁺）は水酸化鉄(III)（Fe(OH)₃）の赤褐色沈殿を生じます[cite: 218-221]。
1,"水酸化ナトリウム水溶液を加えると、「淡緑色」の沈殿を生じるイオンは？",Fe²⁺,Fe³⁺,Cu²⁺,Ni²⁺,A,鉄(II)イオン（Fe²⁺）は水酸化鉄(II)（Fe(OH)₂）の淡緑色沈殿を生じます。
1,クロム酸カリウム（K₂CrO₄）を加えると「黄色」沈殿を生じるイオンは？,Ag⁺,Ba²⁺,Cu²⁺,Fe³⁺,B,バリウムイオン（Ba²⁺）や鉛イオン（Pb²⁺）はクロム酸イオンと反応して黄色の沈殿を生じます[cite: 262-267]。
2,"イオン化傾向が水素（H₂）より小さく、塩酸や希硫酸に溶けない金属は？",Zn,Fe,Cu,Al,C,"銅（Cu）は水素よりイオン化傾向が小さいため、酸化力のない酸（塩酸や希硫酸）には溶けません。"
2,"イオン化傾向が極めて大きく、常温の水と激しく反応する金属は？",Na,Mg,Al,Zn,A,ナトリウム（Na）やカリウム（K）などのアルカリ金属はイオン化傾向が大きく、常温の水と反応します[cite: 1895-1904]。
2,炭酸イオン（CO₃²⁻）と反応して沈殿を生じないイオンはどれか？,Ca²⁺,Ba²⁺,Na⁺,Pb²⁺,C,"ナトリウム（Na⁺）などのアルカリ金属の炭酸塩は水によく溶けますが、アルカリ土類金属などは沈殿します。"
2,硫酸イオン（SO₄²⁻）と沈殿をつくる金属イオンの組み合わせとして正しいのは？,Ba²⁺・Pb²⁺,Cu²⁺・Zn²⁺,Fe²⁺・Mg²⁺,Na⁺・K⁺,A,"バリウム（Ba）、カルシウム（Ca）、鉛（Pb）、ストロンチウム（Sr）は硫酸塩の沈殿をつくります（「バカにするな」の語呂合わせ等）[cite: 208-210]。"
2,塩化物イオン（Cl⁻）と沈殿をつくる金属イオンの組み合わせは？,Ag⁺・Pb²⁺,Cu²⁺・Zn²⁺,Na⁺・K⁺,Ba²⁺・Ca²⁺,A,銀（Ag）と鉛（Pb）は塩化物沈殿をつくります[cite: 186-200]。
2,酸性・中性・塩基性のいずれの条件でも硫化物が沈殿する金属イオンは？,Zn²⁺,Fe²⁺,Cu²⁺,Na⁺,C,"イオン化傾向が小さい金属（Sn, Pb, Cu, Hg, Agなど）は、酸性条件下でも硫化物が沈殿します[cite: 341-351]。"
2,中性または塩基性条件下でのみ硫化物が沈殿する金属イオンは？,Cu²⁺,Ag⁺,Zn²⁺,Pb²⁺,C,"亜鉛（Zn）、鉄（Fe）、ニッケル（Ni）などはイオン化傾向が比較的大きく、酸性では硫化物が沈殿しません[cite: 296-321]。"
2,水酸化物が過剰の水酸化ナトリウムに溶ける性質を持つ金属（両性金属）は？,Mg,Ca,Zn,Fe,C,"亜鉛（Zn）は両性金属であり、単体も水酸化物も強塩基に溶けます。"
2,"次の金属のうち、希硝酸や熱濃硫酸のような酸化力のある酸にしか溶けないものは？",Mg,Al,Zn,Ag,D,"銀（Ag）は水素よりイオン化傾向が小さく、酸化力のある酸に溶けます。"
2,"不動態を形成するため、濃硝酸に溶けない金属は？",Zn,Cu,Al,Ag,C,"アルミニウム（Al）、鉄（Fe）、ニッケル（Ni）は濃硝酸中で不動態となり溶けません[cite: 883]。"
3,"硫化水素を通じたとき、「白色」の沈殿を生じる物質は？",ZnS,CuS,FeS,PbS,A,硫化亜鉛（ZnS）は硫化物の中で特徴的な白色沈殿です[cite: 322-323]。
3,"硫化水素を通じたとき、「黄色」の沈殿を生じる物質は？",ZnS,CdS,FeS,Ag₂S,B,硫化カドミウム（CdS）は黄色沈殿です（テキスト外の知識ですが定番）。テキスト内では「硫化物の色は黒が多い」とあり、ZnS（白）以外の例外として重要です。
3,"硫化水素を通じたとき、「黒色」の沈殿を生じる物質は？",ZnS,CuS,MnS,SnS,B,"硫化銅（II）（CuS）、硫化鉛（II）（PbS）、硫化銀（Ag₂S）などは黒色沈殿です[cite: 351]。"
