番号,問題,解答
1,見る,"思う,関係を結ぶ,面倒を見る"
2,見す,結婚させる
3,見ゆ,"見える・思われる,見せる,結婚する"
4,かいまみる,のぞき見る
5,よばふ,"呼び続ける,求婚する"
6,好く,風流を好む
7,わたる,"通る,いらっしゃる,～続ける,一面に"
8,ありく,"出歩く,～しまわる,～続ける"
9,おこなふ,仏道修行をする
10,なやむ,病気になる
11,おこたる,病気が治る
12,おくる,先立たれる
13,ながむ,"もの思いに沈む,口ずさむ"
14,ときめく,"寵愛を受ける,栄える"
15,かしづく,"大切に育てる,大切に世話をする"
16,めづ,"愛する,感嘆する"
17,おどろく,"目を覚ます,気づく"
18,こうず,疲れる
19,おぼゆ,"思われる,思い出される,似る"
20,聞こゆ,"聞こえる,評判になる,分かる"
21,まもる・まぼる,見つめる
22,たのむ,"あてにする,あてにさせる"
23,かづく,"かぶる,いただく,与える"
24,ののしる,"大声で騒ぐ,評判になる,羽振りをきかす"
25,やる,"送る,～きれない"
26,いらふ,答える
27,にほふ,美しく映える
28,あきらむ,明らかにする
29,ねんず,がまんする
30,まうく,用意する
31,ゐる,"座る,～ている,連れる"
32,具す,伴う・連れる・添える
33,経,"たつ,通る"
34,さる,"避ける,なる"
35,ものす,"する,いらっしゃる"
36,ならふ,"慣れる,なじむ"
37,しのぶ,"がまんする,人目につかないようにする,思い出す"
38,わぶ,"困る・嘆く,～かねる"
39,をかし,"すばらしい,滑稽だ"
40,よろし,"悪くはない,普通だ"
41,ありがたし,"めったにない,すばらしい"
42,つきづきし,似つかわしい
43,なまめかし,"上品だ,若々しい"
44,めでたし,すばらしい
45,うるはし,"きちんとしている,美しい"
46,やむごとなし,"高貴だ,並々でない"
47,おとなし,"思慮分別がある,主だっている"
48,ゆかし,"見たい・聞きたい・知りたい,心ひかれる"
49,なつかし,親しみ深い
50,はづかし,立派だ
51,こころにくし,奥ゆかしい
52,うつくし,かわいい
53,かなし,いとしい
54,らうたし,かわいい
55,めやすし,感じがよい
56,あやし,"不思議だ,身分が低い,粗末だ"
57,さうざうし,もの足りない
58,つれなし,"平然としている,冷淡だ"
59,なめし,無礼だ
60,おどろおどろし,"大げさだ,気味が悪い"
61,憂し,つらい・いやだ
62,むつかし,"うっとうしい,気味が悪い"
63,すさまじ,"興ざめだ,殺風景だ"
64,びんなし,"不都合だ,気の毒だ"
65,いとほし,気の毒だ
66,いはけなし,子どもっぽい
67,つらし,薄情だ
68,ところせし,窮屈だ
69,うしろめたし,気がかりだ
70,かたはらいたし,"きまり悪い,苦々しい,気の毒だ"
71,わりなし,"ひどい,どうしようもない,苦しい"
72,本意なし,残念だ
73,あさまし,"驚くほどだ,あきれるほどだ,情けない"
74,めざまし,"気にくわない,すばらしい"
75,いみじ,"すばらしい,ひどい,とても"
76,ゆゆし,"不吉だ,すばらしい,はなはだしく"
77,やさし,"優美だ・上品だ,殊勝だ"
78,しるし[著し],"はっきりと分かる,～(の)とおりに"
79,とし,早い
80,ゆくりなし,突然だ
81,おぼつかなし,"はっきりしない,気がかりだ,待ち遠しい"
82,心もとなし,"かすかだ,不安だ,じれったい"
83,あはれなり,しみじみと心に深く感じられる
84,つれづれなり,"退屈である,ものさびしい"
85,すずろなり・そぞろなり,"なんということ(わけ)もない,思いがけない,むやみやたらだ"
86,まめなり・まめやかなり,"まじめである,実用的である"
87,あだなり,"はかない,浮気だ"
88,いたづらなり,"役に立たない,むなしい"
89,優なり,"優れている,優雅である"
90,あてなり,"高貴である,上品である"
91,あからさまなり,ほんのちょっと
92,みそかなり,ひそかに
93,おろかなり,"いい加減だ,並ひととおりだ,言い尽くせない"
94,をこなり,"愚かだ,ばかばかしい"
95,むげなり,"ひどい,ひどく"
96,なかなかなり,"中途半端だ,かえってしないほうがよい・かえってないほうがましだ"
97,手,"字,演奏法"
98,文・書,"手紙,漢詩"
99,消息,"手紙,訪問の申し入れ"
100,あそび,管弦の遊び
101,うへ,"帝,奥様"
102,おほやけ,"朝廷,帝"
103,うち,"宮中,帝"
104,御前,お側
105,みゆき,お出まし
106,たより,"よりどころ,つて,よい機会"
107,物語,世間話
108,ためし,先例
109,いそぎ,準備
110,用意,気配り
111,かたち,容貌
112,かげ,"光,姿"
113,けしき,"様子,機嫌,意向"
114,こころざし,"愛情,お礼の贈り物"
115,本意,かねてからの願い
116,こと,"言葉,和歌"
117,わざ,"こと(事),葬儀"
118,よろづ,"さまざま,何ごとにつけても"
119,ことわり,道理
120,ひがこと・ひがごと,間違い
121,そらごと,嘘
122,しるし[験・徴],"効き目,ご利益,きざし"
123,料,ため
124,禄,ほうび
125,としごろ,長年
126,つとめて,"早朝,翌朝"
127,世・世の中,男女の仲・夫婦の仲
128,いかで・いかでか,"どうして,どうして,なんとかして"
129,いかが・いかに,"どのように・どうして,どうして,どんなにか"
130,など・などか・などて・なじかは,どうして
131,いつしか,"いつの間にか,早く"
132,おのづから,"たまたま,もしかして"
133,なほ,なんといってもやはり・それでもやはり
134,いとど,ますます
135,げに,本当に
136,かく,このように
137,さ,そのように
138,しか,そのように
139,と,あのように
140,やがて,"そのまま,すぐに"
141,すなはち,すぐに
142,やうやう,しだいに
143,やをら・やはら,そっと
144,なかなか(に),かえって
145,さすがに,"そうはいってもやはり,なんといってもやはり"
146,かたみに,互いに
147,うたて,"いやな感じに,異様に怪しく"
148,なべて,"一般に,並ひととおり"
149,わざと,"わざわざ,特に,正式な"
150,あまた,たくさん
151,ここら・そこら,"たくさん,たいそう"
152,え(～打消),ことができない
153,な～そ,な・てはならない
154,おほかた(～打消),まったく
155,さらに(～打消),まったく
156,世に(～打消),"まったく,実に"
157,たえて(～打消),まったく
158,つゆ(～打消),少しも
159,ゆめ・ゆめゆめ(～打消・禁止),決して
160,つやつや(～打消),まったく
161,をさをさ(～打消),ほとんど
162,よも(～打消推量),まさか
163,あなかしこ(～禁止),決して
164,ためらふ,気持ちを静める
165,やすらふ,"ためらう,立ち止まる"
166,かたらふ,"語り合う,親しく交際する,契る,説得する"
167,住む,通う
168,やむ,終わる
169,うつろふ,色あせる
170,見出だす,外を見る
171,もてなす,"振る舞う,取り扱う"
172,あつかふ,"面倒を見る,もてあます"
173,あくがる,"さまよい出る,浮かれ歩く"
174,あふ,"結婚する,耐えられない,～きれない"
175,しほたる,涙を流す
176,かきくらす,"空を暗くする,悲しみにくれる"
177,まどふ,"迷う,ひどく"
178,たばかる,"工夫する,だます"
179,すさぶ,興じる・気の向くままにする
180,すまふ,"抵抗する,断る"
181,まねぶ,"まねる,伝える"
182,ねぶ,"年をとる,大人びる"
183,おきつ,"決めておく,指図する"
184,うれふ,訴える
185,むすぶ,"できる,すくう"
186,とぶらふ,"訪ねる,見舞う,弔う"
187,やつす,"質素にする,出家する"
188,さはる,"差し支える,妨げられる"
189,かしこまる,"恐縮する,恐縮して正座する"
190,かこつ,嘆く
191,わく,理解する
192,つつむ,遠慮する
193,あらまほし,望ましい
194,らうらうじ,"巧みだ,上品だ"
195,うるせし,"賢い,巧みだ"
196,はかばかし,"しっかりしている,はっきりしている"
197,をさをさし,しっかりしている
198,さうなし,比べるものがない
199,くまなし,"陰がない,なんでも知っている"
200,ずちなし,どうしようもない
201,さがなし,"意地が悪い,いたずらだ"
202,あいなし,"つまらない,なんとなく"
203,まさなし,よくない
204,はかなし,"頼りない,ちょっとしたことだ"
205,こころづきなし,気にくわない
206,あへなし,"落胆している,はかない"
207,おほけなし,身のほど知らずだ
208,よしなし,"つまらない,関係がない"
209,はしたなし,"きまり悪い,そっけない,激しい"
210,しどけなし,"怠慢だ,気楽だ"
211,いぎたなし,寝坊だ
212,ひとわろし,みっともない
213,いぶせし,"うっとうしい,気がかりだ"
214,くちをし,残念だ
215,あたらし,惜しい
216,ねたし,くやしい
217,こちたし,"うるさい,大げさだ,はなはだしい"
218,けし,異様だ
219,わびし,苦しい
220,こころぐるし,"気の毒だ,気がかりだ"
221,まだし,まだ早い
222,さかし,"優れている,しっかりしている,こざかしい"
223,まばゆし,"まぶしい,美しい,恥ずかしい,見ていられない"
224,かたじけなし,"おそれ多い,おそれ多い,面目ない"
225,かしこし,"おそれ多い,優れている,うまい具合に"
226,しげし,多い
227,すごし,"気味が悪い,さびしい,すばらしい"
228,いたし,"すばらしい,ひどい,はなはだしく,それほど"
229,おぼろけなり,"並ひととおりだ,並ひととおりではない"
230,なのめなり,"並ひととおりだ,いい加減だ,並ひととおりではない"
231,清らなり・けうらなり,清らかで美しい
232,まほなり,完全である
233,あらはなり,まる見えである
234,あながちなり,"強引だ,むやみに"
235,せちなり,"切実である,大切である"
236,とみなり,急だ
237,うちつけなり,"にわかだ,軽率だ"
238,さらなり,言うまでもない
239,ねんごろなり・ねむごろなり,"心を込めている,親密だ"
240,おいらかなり,おっとりしている
241,あやにくなり,"意地が悪い,あいにくだ"
242,おぼえ,"評判,寵愛"
243,ひま,"すき間,合間"
244,いとま,"暇,休むこと"
245,才,"教養,才能"
246,よろこび,お礼
247,こころばへ,"気だて,心づかい,趣"
248,こころづくし,もの思いをすること
249,そこ,あなた
250,ここ,このわたし
251,かれ,あの人
252,それ,"その人,あなた"
253,これ,このわたし
254,あなた,向こう
255,そなた,あなた
256,こなた,このわたし
257,そのかみ,その当時
258,せうと,兄
259,おとうと・おとと,妹
260,いも,いとしいあなた
261,つま,夫
262,はらから,兄弟
263,かたへ,"半分,傍ら,仲間"
264,ほど,"ころ,広さ,身分,様子"
265,かぎり,"限界,極致,臨終,すべて"
266,きは,身分
267,ついで,"序列,機会"
268,沙汰,"評議・裁き,命令,噂"
269,とが,"欠点,罪"
270,け,ため
271,よし[名],"風情,由緒,手立て,こと"
272,やう,"様子,理由,方法,～ことには"
273,ちぎり,"約束,宿縁"
274,ほだし,障害となるもの
275,あやめ,道理
276,うつつ,"現実,正気"
277,あるじ,もてなし
278,ふるさと,"なじみの土地,わが家"
279,さて,"そのまま,そのほか"
280,さながら,"そのまま,すべて"
281,いま,"すぐに,もう"
282,せめて,"強いて,ひどく"
283,むべ・うべ,なるほど
284,かつ,"一方では,すぐに"
285,ひねもす,一日中
286,かまへて(～打消・禁止),"決して,なんとかして"
287,あへて(～打消),まったく
288,かけて(も)(～打消),まったく・決して
289,さだめて(～推量),きっと
290,のたまふ・のたまはす,おっしゃる
291,仰す,おっしゃる
292,聞こゆ・聞こえさす,"申し上げる,(お)～申し上げる"
293,申す,"申し上げる,(お)～申し上げる"
294,奏す,申し上げる
295,啓す,申し上げる
296,承る,お受けする・お聞きする
297,給ふ,"お与えになる・下さる,～なさる・お～になる,～(ており)ます"
298,たまはす,お与えになる
299,たまはる,いただく
300,召す,"お呼びになる,お取り寄せになる,お召しになる,お乗りになる"
301,思す・思し召す,お思いになる
302,おほとのごもる,おやすみになる
303,さぶらふ・さうらふ,"お仕え申し上げる,あります,～(でござい)ます"
304,はべり,"お仕え申し上げる,あります,～(でござい)ます"
305,奉る,"差し上げる,(お)～申し上げる,お召しになる,召しあがる,お乗りになる"
306,参らす,"差し上げる,(お)～申し上げる"
307,まゐる・まうづ,"参上する,差し上げる,召し上がる"
308,まかる・まかづ,退出する
309,あそばす,なさる
310,つか(う)まつる,"お仕え申し上げる,し申し上げる"
311,聞こし召す,"お聞きになる,召しあがる"
312,しろしめす,"知っていらっしゃる,お治めになる"
313,おはす・おはします,"いらっしゃる,～(て)いらっしゃる"
314,います・ます・まします・いますかり,"いらっしゃる,～(て)いらっしゃる"
315,御覧ず,御覧になる
316,あかず,①満足しない・もの足りない ②飽きることがない・名残惜しい
317,あからめもせず,よそ見もしない
318,あなかま,"ああ,うるさい・静かに"
319,あらぬ,別の
320,ありありて,①生き続けて ②結局
321,ありし,①以前の・生前の ②あの
322,ありつる,先ほどの・例の
323,あれかにもあらず,呆然としている
324,いかがはせむ,どうしようもない
325,いさ～知らず,"さあ,～分からない"
326,いざ(させ)給へ,さあいらっしゃい
327,いはむかたなし,言いようもない
328,いふかひなし,①言ってもかいがない ②つまらない・取るに足りない
329,～(と)いふもおろかなり,(～という言葉では)言い尽くせない
330,いふもさらなり,言うまでもない
331,色に出づ,(こらえきれず)表情に出る
332,寝を寝,寝る
333,えならず,言いようもなくすばらしい
334,音に聞く,噂に聞く
335,数ならず,ものの数ではない・取るに足りない
336,くるしからず,不都合ではない・差し支えない
337,見参に入る,"〔貴人に〕お目にかかる,〔貴人に〕お目にかける"
338,こころあり＝なさけあり,①情緒を解する・風流心がある ②道理を解する・分別がある ③思いやりがある
339,心置く,①心を留める・気にかける ②気がねする・遠慮する
340,こころ(を)やる,①気晴らしをする・心を慰める ②得意になる・満足する
341,こころゆく,満足する・気が晴れる
342,させる,たいした(～ない)
343,さはれ・さばれ,"①どうとでもなれ・ええ,ままよ ②それはそうだが・しかし"
344,さらでだに,そうでなくてさえ・ただでさえ
345,さらぬ,①そうではない・それ以外の ②避けられない
346,さるべき,①そうなるはずの ②ふさわしい・適当な ③立派な・相当な(身分の)
347,さるべきにや(ありけむ),そうなるはずの前世からの因縁であったのだろうか
348,さるものにて,①言うまでもないことで・もちろん ②ともかくとして・一応もっともだが
349,さればよ,思ったとおりだ・案の定だ
350,そのこととなく,これということもなく
351,そばめにかく,①横目で見る ②軽く見る・馬鹿にする・冷たい目で見る
352,ただならずなる,懐妊する・妊娠する
353,力なし,どうしようもない・しかたない・どうにもならない
354,ときしもあれ,"ほかに時もあろうに,よりによってこんな時に"
355,ときにあふ,①ちょうどよい時期に出会う ②時流に乗って栄える・時めいている
356,とばかり,ちょっとの間・しばらく
357,なでふ・なんでふ・なんでう・何条,①なんという(連体詞的用法) ②どうして(副詞的用法)
