番号,問題,解答
1,あいぎゃう,かわいらしい
2,あいなし,"つまらない,わけもなく,気に食わない"
3,あえか(なり),きゃしゃだ
4,あかず,"ものたりない,嫌にならない"
5,あかなくに,名残惜しい
6,あからさま(なり),ついちょっと
7,あからめ,"わき見,浮気"
8,あかる,別れる
9,あきらむ,明らかにする
10,あく,"満ち足りる,嫌になる"
11,あくがる,"浮かれ出る,うわの空"
12,あげつらふ,議論する
13,あさまし,驚き呆れる
14,あさむ,驚く
15,あざる,ふざける
16,あし,"悪い,下手だ"
17,あした,朝
18,あそばす,～なさる
19,あそび,詩歌管弦
20,あだ(なり),"浮気なさま,無駄なさま,はかないさま"
21,あたらし,もったいない
22,あぢきなし,つまらない，どうしようもない，道理に合わない
23,あつし,危篤だ
24,あて(なり),"上品だ,身分が高い"
25,あない,取り次ぎ，事情
26,あながち(なり),"むやみだ,無理やりだ，度を越している"
27,あなかま,しっ、静かに
28,あなづらはし,"遠慮がいらない,馬鹿にしたくなる"
29,あなる,あるようだ(推定)，あるそうだ（伝聞）
30,あはれ(なり),しみじみとする，かわいい，ああ
31,あふ,結婚する，出会う，出くわす
32,あべかり,違いない
33,あへず,堪えられない
34,あへなし,"がっかりする,どうしようもない"
35,あへなむ,仕方がない
36,あまた,たくさん
37,あめり,あるらしい
38,あやし,"卑しい,粗末だ,不思議だ"
39,あやなし,"わけがわからない,つまらない"
40,あやにく(なり),意地悪だ
41,あらがふ,言い争う
42,あらたし,新しい
43,あらぬ,"意外だ,無関係の"
44,あらは(なり),丸見えだ
45,あらまし,計画
46,あらます,期待する
47,あらまほし,"理想的だ,ありたい"
48,あり,生きている
49,ありありて,"生きながらえて,とどのつまり"
50,ありがたし,"めずらしい,生きづらい"
51,ありく,"歩き回る,〜し続ける"
52,ありつる,さっきの
53,ありとある,すべての
54,ありもつかず,落ち着かない
55,あるじす,ごちそうする
56,あるじまうけ,ごちそう
57,あるは,ある者は
58,あるやうこそは,何かわけがあるのだろう
59,あれかにもあらず,ぼうっとしている
60,いう(なり),"上品だ,すばらしい"
61,いかが(は)せむ,"どうしようか,どうしようもない"
62,いかで,"どうして,なんとかして"
63,いかめし,"盛大である,おごそかだ"
64,いぎたなし,寝坊だ
65,いさ(や),"さぁ,どうかな"
66,いざたまへ,さぁいらっしゃい
67,いそぎ,準備
68,いたし,"あまりにひどい,素晴らしい"
69,いたづら(なり),"無駄だ,むなしい,死ぬ"
70,いたはし,"苦しい,気の毒だ,お世話したい"
71,いちのひと,"摂政•関白,太政大臣"
72,いつく,大事に育てる
73,いつしか(+願望表現),早く～したい
74,いづら,どこ
75,いでたつ,出発する
76,いと・いたく(う)(＋打消),あまり～ない
77,いとけなし,子供っぽい
78,いとど,いっそう
79,いとはし,嫌だ
80,いとふ,嫌う
81,いとほし,気の毒だ
82,いなぶ,断る
83,いはけなし,子供っぽい
84,いひけつ,悪く言う
85,いぶかし,"気がかり,知りたい"
86,いふかひなし,つまらない
87,いぶせし,憂鬱だ
88,いまいまし,不吉だ
89,います,いらっしゃる
90,いますがり,いらっしゃる
91,いまだし,まだ早い
92,いまめかし,現代風だ
93,いみじ,"はなはだしい,素晴らしい,ひどい"
94,いむ,嫌って避ける
95,いもぬ,寝る
96,いらふ・いらへ,返事をする
97,うきよ,つらくはかない世の中
98,うけたまはる,お受けする
99,うし,"つらい,気に食わない"
100,うしろみ,後見人
101,うしろめたし,心配だ
102,うしろやすし,安心だ
103,うす,死ぬ
104,うたて,"ますます,ひどい,情けない"
105,うたてあり,嫌だ
106,うたてし,"嫌だ,情けない"
107,うち,"宮中,天皇"
108,うちつけ(なり),突然である
109,うちとく,気を許す
110,うつくし,かわいい
111,うつたへに,ことさら
112,うつつ,現実
113,うつはもの,才能
114,うつろふ,"色あせる,心変わりする"
115,うとし,"よく知らない,親しくない"
116,うとまし,"嫌だ,気味が悪い"
117,うへ,天皇
118,う(む)まのはなむけ,送別会
119,うめく,苦吟する
120,うらなし,ざっくばらんだ
121,うるさし,"面倒だ,嫌味だ"
122,うるはし,整っている
123,うんず,"ふさぎこむ,嫌になる"
124,え(～ず),～できない
125,えさらず,避けられない
126,えならず,なんとも言えないほどよい
127,えん(なり),優美だ
128,おいらか(なり),おっとりしている
129,おきつ,"計画する,指図する"
130,おきな/おうな,"爺さん,婆さん"
131,おくる,"先立たれる,取り残される"
132,おこたる,病気が治る
133,おこなふ,仏道修行をする
134,おづ,怖がる
135,おと,"評判,便り"
136,おとど,大臣
137,おとなし,大人びている
138,おとなふ,訪れる
139,おとなぶ,一人前になる
140,おどろおどろし,"気味が悪い,おおげさだ"
141,おどろく,"はっとして気づく,目を覚ます"
142,おのづから,"ひょっとして,偶然,自然と"
143,おはします,いらっしゃる
144,おはす,いらっしゃる(サ変)
145,おぼえ,"(よい)評判,寵愛(を受けること)"
146,おほけなし,"恐れ多い,身分不相応だ"
147,おほす,おっしゃる
148,おぼす,お思いになる
149,おぼつかなし,"気がかりだ,はっきりしない,待ち遠しい"
150,おほとのごもる,お休みになる
151,おほやけ,朝廷
152,おぼゆ,"似ている,自然に思われる"
153,おぼろげ(なり),"格別だ,普通だ"
154,おもしろし,"趣がある,興味深い"
155,おもて,顔
156,おもて(を)おこす,名誉を回復する
157,おもて(を)ふす,面目を失わせる
158,およずく・およすぐ,大人になる
159,おろか(なり),"いいかげんだ,未熟だ"
160,おろす,出家する
161,かきくらす,心を暗くする
162,かぎり,"全部,限界,臨終"
163,かくる,死ぬ
164,かこつ,"他のせいにする,嘆く"
165,かごと,愚痴
166,かし,"～よ,～ね(念押しの終助詞)"
167,かしかまし,やかましい
168,かしこし,"非常に,恐れ多い"
169,かしづく,大切に養い育てる
170,かしまし,やかましい
171,かずならず,取るに足りない
172,かずまふ,一人前に扱う
173,かたくな(なり),"見苦しい,ものわかりが悪い"
174,かたし,"まれだ,難しい"
175,かたち,容貌
176,かたはらいたし,"苦々しい,気恥ずかしい"
177,かたへ,そば
178,かたほ(なり),不完全だ
179,かたみに,互いに
180,かち,徒歩
181,かつ,一方では〜し、一方では〜する
182,かづく,"水中に潜る,褒美としていただく"
183,かど,才能
184,かなし・かなしうす,かわいい
185,かまびすし,うるさい
186,かまふ,"作る,計画を立てる"
187,かまへて,必ず
188,からし,"つらい,危ない"
189,ーがり・ーのがり,の元へ
190,かりそめ(なり),"ちょっとだけだ,一時的だ"
191,かる,離れる
192,かんず,感動する
193,きこゆ,"申し上げる,わけがわかる,評判である"
194,きは,身分
195,きはやか(なり),目立っている
196,きゃうきゃう(なり),軽率だ
197,きよし・きよら(なり),美しい
198,ぐす,連れていく(サ変)
199,くすし,不思議だ
200,くたす,"腐らせる,けなす"
201,くちをし,"残念だ,もの足りない"
202,くつ,腐る
203,くまなし,"抜け目がない,かげりがない"
204,くもゐ,皇居
205,くんず,ふさぎこむ
206,けいす/そうす,申し上げる
207,けう(なり),珍しい
208,けうとし,うとましい
209,けうら(なり),美しいさま
210,けさう,恋い慕うこと
211,けし,異様だ
212,けしうはあらず,悪くはない
213,けしからず,"異様だ,不都合だ"
214,けしき,様子
215,けしきばむ,気取る
216,けつ,けなす
